seconds_left,margin,opp_bonus,p_win_with_ball
0,-6,none,0.0
0,-6,1-and-1,0.0
0,-6,double,0.0
0,-5,none,0.0
0,-5,1-and-1,0.0
0,-5,double,0.0
0,-4,none,0.0
0,-4,1-and-1,0.0
0,-4,double,0.0
0,-3,none,0.0
0,-3,1-and-1,0.0
0,-3,double,0.0
0,-2,none,0.0
0,-2,1-and-1,0.0
0,-2,double,0.0
0,-1,none,0.0
0,-1,1-and-1,0.0
0,-1,double,0.0
0,0,none,0.5
0,0,1-and-1,0.5
0,0,double,0.5
0,1,none,1.0
0,1,1-and-1,1.0
0,1,double,1.0
0,2,none,1.0
0,2,1-and-1,1.0
0,2,double,1.0
0,3,none,1.0
0,3,1-and-1,1.0
0,3,double,1.0
0,4,none,1.0
0,4,1-and-1,1.0
0,4,double,1.0
0,5,none,1.0
0,5,1-and-1,1.0
0,5,double,1.0
0,6,none,1.0
0,6,1-and-1,1.0
0,6,double,1.0
5,-6,none,0.0001
5,-6,1-and-1,0.0001
5,-6,double,0.0001
5,-5,none,0.0033
5,-5,1-and-1,0.0033
5,-5,double,0.0033
5,-4,none,0.0554
5,-4,1-and-1,0.0559
5,-4,double,0.0576
5,-3,none,0.075
5,-3,1-and-1,0.0778
5,-3,double,0.089
5,-2,none,0.2439
5,-2,1-and-1,0.2456
5,-2,double,0.2518
5,-1,none,0.3867
5,-1,1-and-1,0.3886
5,-1,double,0.408
5,0,none,0.5685
5,0,1-and-1,0.5688
5,0,double,0.584
5,1,none,0.7976
5,1,1-and-1,0.7984
5,1,double,0.809
5,2,none,0.8784
5,2,1-and-1,0.8801
5,2,double,0.8988
5,3,none,0.9859
5,3,1-and-1,0.9861
5,3,double,0.9866
5,4,none,0.9936
5,4,1-and-1,0.9938
5,4,double,0.9954
5,5,none,0.9999
5,5,1-and-1,0.9999
5,5,double,0.9999
5,6,none,1.0
5,6,1-and-1,1.0
5,6,double,1.0
10,-6,none,0.0072
10,-6,1-and-1,0.0075
10,-6,double,0.0077
10,-5,none,0.0181
10,-5,1-and-1,0.02
10,-5,double,0.0227
10,-4,none,0.0805
10,-4,1-and-1,0.0833
10,-4,double,0.0868
10,-3,none,0.1381
10,-3,1-and-1,0.1453
10,-3,double,0.1642
10,-2,none,0.2909
10,-2,1-and-1,0.2964
10,-2,double,0.3106
10,-1,none,0.3856
10,-1,1-and-1,0.3883
10,-1,double,0.4082
10,0,none,0.5802
10,0,1-and-1,0.5827
10,0,double,0.6001
10,1,none,0.7408
10,1,1-and-1,0.7441
10,1,double,0.759
10,2,none,0.8306
10,2,1-and-1,0.8355
10,2,double,0.8554
10,3,none,0.937
10,3,1-and-1,0.9385
10,3,double,0.9447
10,4,none,0.9676
10,4,1-and-1,0.9689
10,4,double,0.9757
10,5,none,0.9957
10,5,1-and-1,0.9958
10,5,double,0.9965
10,6,none,0.9993
10,6,1-and-1,0.9993
10,6,double,0.9995
15,-6,none,0.0202
15,-6,1-and-1,0.0216
15,-6,double,0.0229
15,-5,none,0.0399
15,-5,1-and-1,0.0453
15,-5,double,0.051
15,-4,none,0.1079
15,-4,1-and-1,0.1148
15,-4,double,0.1226
15,-3,none,0.1716
15,-3,1-and-1,0.184
15,-3,double,0.2034
