seconds_left,margin,opp_bonus,p_win_with_ball
0,-6,none,0.0
0,-6,1-and-1,0.0
0,-6,double,0.0
0,-5,none,0.0
0,-5,1-and-1,0.0
0,-5,double,0.0
0,-4,none,0.0
0,-4,1-and-1,0.0
0,-4,double,0.0
0,-3,none,0.0
0,-3,1-and-1,0.0
0,-3,double,0.0
0,-2,none,0.0
0,-2,1-and-1,0.0
0,-2,double,0.0
0,-1,none,0.0
0,-1,1-and-1,0.0
0,-1,double,0.0
0,0,none,0.5
0,0,1-and-1,0.5
0,0,double,0.5
0,1,none,1.0
0,1,1-and-1,1.0
0,1,double,1.0
0,2,none,1.0
0,2,1-and-1,1.0
0,2,double,1.0
0,3,none,1.0
0,3,1-and-1,1.0
0,3,double,1.0
0,4,none,1.0
0,4,1-and-1,1.0
0,4,double,1.0
0,5,none,1.0
0,5,1-and-1,1.0
0,5,double,1.0
0,6,none,1.0
0,6,1-and-1,1.0
0,6,double,1.0
5,-6,none,0.0003
5,-6,1-and-1,0.0003
5,-6,double,0.0003
5,-5,none,0.0042
5,-5,1-and-1,0.0042
5,-5,double,0.0043
5,-4,none,0.0284
5,-4,1-and-1,0.0285
5,-4,double,0.0298
5,-3,none,0.0716
5,-3,1-and-1,0.0735
5,-3,double,0.0802
5,-2,none,0.2325
5,-2,1-and-1,0.234
5,-2,double,0.2402
5,-1,none,0.3756
5,-1,1-and-1,0.3781
5,-1,double,0.4015
5,0,none,0.5818
5,0,1-and-1,0.5836
5,0,double,0.6037
5,1,none,0.8311
5,1,1-and-1,0.8357
5,1,double,0.8562
5,2,none,0.9132
5,2,1-and-1,0.9167
5,2,double,0.9417
5,3,none,0.986
5,3,1-and-1,0.9868
5,3,double,0.9905
5,4,none,0.9966
5,4,1-and-1,0.997
5,4,double,0.9982
5,5,none,0.9997
5,5,1-and-1,0.9998
5,5,double,0.9999
5,6,none,1.0
5,6,1-and-1,1.0
5,6,double,1.0
10,-6,none,0.0032
10,-6,1-and-1,0.0033
10,-6,double,0.0035
10,-5,none,0.0125
10,-5,1-and-1,0.0129
10,-5,double,0.0137
10,-4,none,0.0507
10,-4,1-and-1,0.0516
10,-4,double,0.0542
10,-3,none,0.1111
10,-3,1-and-1,0.1152
10,-3,double,0.1269
10,-2,none,0.2568
10,-2,1-and-1,0.2608
10,-2,double,0.2725
10,-1,none,0.3885
10,-1,1-and-1,0.3947
10,-1,double,0.4201
10,0,none,0.5772
10,0,1-and-1,0.5819
10,0,double,0.6049
10,1,none,0.7776
10,1,1-and-1,0.7923
10,1,double,0.8171
10,2,none,0.8722
10,2,1-and-1,0.8856
10,2,double,0.9125
10,3,none,0.9553
10,3,1-and-1,0.9611
10,3,double,0.9717
10,4,none,0.9834
10,4,1-and-1,0.9867
10,4,double,0.9923
10,5,none,0.9969
10,5,1-and-1,0.9976
10,5,double,0.9987
10,6,none,0.9995
10,6,1-and-1,0.9996
10,6,double,0.9998
15,-6,none,0.0082
15,-6,1-and-1,0.0085
15,-6,double,0.0091
15,-5,none,0.0247
15,-5,1-and-1,0.0266
15,-5,double,0.0289
15,-4,none,0.0698
15,-4,1-and-1,0.073
15,-4,double,0.0784
15,-3,none,0.1349
15,-3,1-and-1,0.142
